RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
MAU,CNMI (CREP),Maug,20.01398,145.22746,,MAU-86,BMU,NCRMP,4767,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,12.1059,27.1305,10.87024212,1.113673446,1.10441504,20.3214,17.8017,1.979727745,1.176308317,0.126969338,0.025269252,8.763545038,1.744107927,0.094696999,0.018846458,
MAU,CNMI (CREP),Maug,20.01398,145.22746,,MAU-86,BMU,NCRMP,4768,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,11.4049,26.5501,10.61632919,1.074279047,1.073365384,28.2629,22.8261,5.628304482,1.203279555,0.084946632,0.016905955,4.903078076,0.975803434,0.33447361,0.066566449,
MAU,CNMI (CREP),Maug,20.01398,145.22746,,MAU-86,BMU,NCRMP,4769,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,10.8507,26.0592,10.50989914,1.032426654,1.032077392,20.3021,17.1628,1.318685532,1.15218925,0.087203979,0.017355209,9.104009629,1.811866693,0.256608009,0.051069751,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4770,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,10.795,26.0243,10.47066593,1.030975496,1.023761056,23.4253,17.5281,1.895055771,1.200771021,0.132883072,0.026446195,8.442727087,1.680259208,0.40433979,0.080471114,
SAI,CNMI (CREP),Saipan,15.25719135,145.7667456,46,SAI-22,BMU,NCRMP,4771,PLATE ONLY,6/21/17,4/26/22,4.849315068,P. lobata,5x2x1,10.4972,25.2563,10.1510582,1.034099085,1.027815696,19.0664,15.3127,NA,NA,NA,NA,NA,NA,NA,NA,
SAI,CNMI (CREP),Saipan,15.25719135,145.7667456,46,SAI-22,BMU,NCRMP,4772,SUCCESSFULLY RECOVERED,6/21/17,4/26/22,4.849315068,P. lobata,5x2x1,12.1212,27.3887,11.05054665,1.096886913,1.094413136,22.9945,16.1504,0.394014359,1.41077527,0.004720688,0.000973475,10.6518116,2.19656002,0.203684807,0.042002799,
SAI,CNMI (CREP),Saipan,15.25719135,145.7667456,46,SAI-22,BMU,NCRMP,4773,SUCCESSFULLY RECOVERED,6/21/17,4/26/22,4.849315068,P. lobata,5x2x1,11.7475,27.1881,10.63690281,1.104409828,1.10048652,21.1033,18.2065,1.025590897,1.253318831,0.02055645,0.004239042,9.590755463,1.977754658,1.055957794,0.217754008,
SAI,CNMI (CREP),Saipan,15.25719135,145.7667456,46,SAI-22,BMU,NCRMP,4774,PLATE ONLY,6/21/17,4/26/22,4.849315068,P. lobata,5x2x1,12.1923,27.5312,10.86377048,1.122289911,1.113781152,19.9605,17.1436,NA,NA,NA,NA,NA,NA,NA,NA,
SAI,CNMI (CREP),Saipan,15.25719135,145.7667456,46,SAI-22,BMU,NCRMP,4775,SUCCESSFULLY RECOVERED,6/21/17,4/26/22,4.849315068,P. lobata,5x2x1,11.6692,26.9683,10.4796524,1.113510215,1.106144088,25.7433,20.3904,3.565518379,1.270618582,0.143096924,0.029508688,6.771037097,1.396287311,0.258968353,0.053403079,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4776,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,11.6943,27.1842,10.36249352,1.128521815,1.117338968,26.7937,21.5634,4.461891174,1.19802413,0.113099098,0.022508817,5.787503248,1.151820439,0.129012108,0.025675801,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4777,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,11.9122,27.5096,10.32371521,1.153867552,1.124835208,26.7466,21.7892,4.396410942,1.244681881,0.136239052,0.027114097,5.791065216,1.152529337,0.207186699,0.041233994,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4778,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,11.6609,26.6237,10.47616768,1.113088331,1.103281296,28.3013,22.6651,5.332256692,1.252340091,0.144358619,0.028730041,4.999552369,0.995003607,0.421995117,0.083984852,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4779,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,12.4423,27.0917,10.73001194,1.159579325,1.15278672,25.7945,24.4551,7.20577734,1.270182321,0.128737436,0.025621136,3.395497164,0.675766884,0.52624506,0.104732523,
MAU,CNMI (CREP),Maug,20.01398,145.22746,34,MAU-86,BMU,NCRMP,4780,SUCCESSFULLY RECOVERED,6/13/17,6/21/22,5.024657534,P. lobata,5x2x1,11.1847,26.1549,10.34767914,1.080889719,1.078430176,34.3058,27.5327,7.906181431,1.187315803,0.100069989,0.019915783,2.34142772,0.465987523,1.905372413,0.379204433,
MAU,CNMI (CREP),Maug,20.02296447,145.2299637,17,MAU-88,BMU,NCRMP,4781,SUCCESSFULLY RECOVERED,6/14/17,6/22/22,5.024657534,P. lobata,5x2x1,11.3663,26.3616,10.28119469,1.105542726,1.09687588,27.4488,25.014,7.921820641,1.177384624,0.171901703,0.034211626,2.187472346,0.43534755,0.436182976,0.086808498,
MAU,CNMI (CREP),Maug,20.02296447,145.2299637,17,MAU-88,BMU,NCRMP,4782,SUCCESSFULLY RECOVERED,6/14/17,6/22/22,5.024657534,P. lobata,5x2x1,12.1754,27.1212,10.62086964,1.146365638,1.136020944,22.9378,21.679,5.090867043,1.209350236,0.35394001,0.070440624,5.176062587,1.030132412,0.221142769,0.044011511,
MAU,CNMI (CREP),Maug,20.02296447,145.2299637,17,MAU-88,BMU,NCRMP,4783,SUCCESSFULLY RECOVERED,6/14/17,6/22/22,5.024657534,P. lobata,5x2x1,10.6331,25.6319,9.908277512,1.073153228,1.061670432,24.4697,22.8303,6.238723755,1.136086507,0.197067261,0.039220038,3.472486496,0.691089188,0.478111267,0.095153006,
MAU,CNMI (CREP),Maug,20.02296447,145.2299637,17,MAU-88,BMU,NCRMP,4784,SUCCESSFULLY RECOVERED,6/14/17,6/22/22,5.024657534,P. lobata,5x2x1,13.5532,28.5821,10.974123,1.235014406,1.228507472,22.3641,20.9916,4.014996529,1.305680134,0.244909287,0.048741488,6.714217185,1.336253693,0.100996971,0.02010027,
MAU,CNMI (CREP),Maug,20.02296447,145.2299637,17,MAU-88,BMU,NCRMP,4785,SUCCESSFULLY RECOVERED,6/14/17,6/22/22,5.024657534,P. lobata,5x2x1,11.6531,26.4235,10.552248,1.104323932,1.09788364,22.0691,19.8411,3.827035904,1.204198117,0.173498154,0.034529349,6.551713942,1.303912535,0.080054283,0.015932286,
MAU,CNMI (CREP),Maug,20.02038628,145.2397782,46,MAU-12,BMU,NCRMP,4786,NOT RECOVERED,6/12/17,NA,NA,P. lobata,5x2x1,12.1729,27.2924,10.71094036,1.136492184,1.133683592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MAU,CNMI (CREP),Maug,20.02038628,145.2397782,46,MAU-12,BMU,NCRMP,4787,SUCCESSFULLY RECOVERED,6/12/17,6/22/22,5.030136986,P. lobata,5x2x1,11.5632,26.7259,10.46858025,1.104562388,1.094756296,29.2904,26.6378,7.469261169,1.166642783,0.052485466,0.010434202,2.946833615,0.585835659,1.723643303,0.342663293,
